Element,HHI Contribution,HHI ,Country,Production,Market Share,Total World Production
Al,758.9808072416145,1599.324755172265,Australia,69976.0,0.275496062992126,254000.0
Al,0.07294252588505176,,Bosnia and Herzegovina,686.0,0.002700787401574803,
Al,175.24547789075575,,Brazil,33624.6,0.1323803149606299,
Al,313.87562775125554,,China,45000.0,0.17716535433070865,
Al,0.0,,Dominican Republic,,0.0,
Al,0.00038750077500155,,Fiji,50.0,0.0001968503937007874,
Al,0.008632897265794531,,Ghana,236.0,0.0009291338582677165,
Al,0.8371529543059085,,Greece,2324.0,0.009149606299212599,
Al,38.186560853121705,,Guinea,15696.0,0.06179527559055118,
Al,0.5125201381364312,,Guyana,1818.399,0.007159051181102362,
Al,0.003723882447764896,,Hungary,155.0,0.000610236220472441,
Al,26.195052390104777,,India,13000.0,0.051181102362204724,
Al,256.04913621582244,,Indonesia,40643.9,0.16001535433070865,
Al,0.11119861739723483,,Iran,847.0,0.0033346456692913387,
Al,16.09120361694091,,Jamaica,10188.916,0.040113842519685035,
Al,4.680238235476471,,Kazakhstan,5495.0,0.021633858267716535,
Al,0.005190805381610762,,Malaysia,183.0,0.0007204724409448818,
Al,3.038006076012152e-05,,Mexico,14.0,5.511811023622047e-05,
Al,0.003918562837125675,,Montenegro,159.0,0.0006259842519685039,
Al,1.6610438340876687e-05,,Mozambique,10.352,4.0755905511811026e-05,
Al,1.2555025110050223e-05,,Pakistan,9.0,3.5433070866141735e-05,
Al,0.0,,Romania,,0.0,
Al,5.4744945439890875,,Russia,5943.0,0.02339763779527559,
Al,0.006577593155186311,,Saudi Arabia,206.0,0.0008110236220472441,
Al,0.0,,Serbia & Montenegro,,0.0,
Al,0.2619505239010478,,Sierra Leone,1300.0,0.005118110236220472,
Al,0.0,,Solomon Islands,,0.0,
Al,1.6231161262322522,,Suriname,3236.0,0.01274015748031496,
Al,0.00022382044764089528,,Tanzania,38.0,0.00014960629921259843,
Al,0.16282019301026096,,Turkey,1024.915,0.00403509842519685,
Al,0.0,,United States,,0.0,
Al,0.9341907433814867,,Venezuela,2455.0,0.009665354330708661,
Al,0.0015500031000062,,Vietnam,100.0,0.0003937007874015748,
He,5889.67009194159,6430.502974580854,United States,132.0,0.7674418604651163,172.0
He,540.8328826392644,,Rest of World,40.0,0.23255813953488372,
Li,5.746240703813066,5008.442423571349,Argentina,14629.0,0.023971317660514756,610271.0
Li,4767.877030767082,,Australia,421391.0,0.6904981557373692,
Li,1.6419806712221932,,Brazil,7820.0,0.012813979363266483,
Li,0.0,,Canada,,0.0,
Li,130.05755149359996,,Chile,69597.0,0.11404277771678484,
Li,3.4285573731915973,,China,11300.0,0.018516364041548754,
Li,0.0,,Namibia,,0.0,
Li,37.8272033108673,,Portugal,37534.0,0.061503823711105396,
Li,0.0,,Russia,,0.0,
Li,0.0,,United States,,0.0,
Li,61.86385925157364,,Zimbabwe,48000.0,0.07865358176941063,
Be,0.0,8265.392924276855,Brazil,,0.0,6540.0
Be,70.724499434204,,China,550.0,0.08409785932721713,
Be,0.0,,Kazakhstan,,0.0,
Be,0.03366719973066241,,Madagascar,12.0,0.001834862385321101,
Be,0.7865031937079744,,Mozambique,58.0,0.008868501529051987,
Be,0.0,,Portugal,,0.0,
Be,0.0,,Russia,,0.0,
Be,8193.848254449213,,United States,5920.0,0.9051987767584098,
Be,0.0,,Zambia,,0.0,
B,63.4123979073356,6186.725431894312,Argentina,649.0,0.07963190184049079,8150.0
B,2.7437991644397615,,Bolivia,135.0,0.016564417177914112,
B,36.0,,Chile,489.0,0.06,
B,3.3874063758515565,,China,150.0,0.018404907975460124,
B,0.0,,Germany,,0.0,
B,0.0001505513944822914,,Iran,1.0,0.0001226993865030675,
B,13.549625503406226,,Kazakhstan,300.0,0.03680981595092025,
B,0.0,,Peru,,0.0,
B,0.8468515939628891,,Russia,75.0,0.009202453987730062,
B,6066.785200797922,,Turkey,6348.0,0.7788957055214724,
B,0.0,,United States,,0.0,
N,0.0004,1244.788,Afghanistan,27.0,0.0002,138000.0
N,,,Albania,,,
N,0.1847,,Algeria,593.0,0.0043,
N,0.189,,Argentina,600.0,0.0043,
N,0.7561,,Australia,1200.0,0.0087,
N,0.084,,Austria,400.0,0.0029,
N,0.0758,,Bahrain,380.0,0.0028,
N,0.2573,,Bangladesh,700.0,0.0051,
N,0.4515,,Belarus,927.0,0.0067,
N,0.3617,,Belgium,830.0,0.006,
N,,,Bosnia and Herzegovina,,,
N,0.4739,,Brazil,950.0,0.0069,
N,0.0758,,Bulgaria,380.0,0.0028,
N,,,Burma,,,
N,8.1763,,Canada,3946.0,0.0286,
N,982.2319,,China,43250.0,0.3134,
N,,,Colombia,,,
N,0.0711,,Croatia,368.0,0.0027,
N,0.0011,,Cuba,45.0,0.0003,
N,0.006,,Czech Republic,107.0,0.0008,
N,,,Denmark,,,
N,6.4325,,Egypt,3500.0,0.0254,
N,,,Estonia,,,
N,0.0027,,Finland,72.0,0.0005,
N,6.4325,,France,3500.0,0.0254,
N,0.011,,Georgia,145.0,0.0011,
N,4.1778,,Germany,2821.0,0.0204,
N,0.0089,,Greece,130.0,0.0009,
N,0.0473,,Hungary,300.0,0.0022,
N,,,Iceland,,,
N,57.8922,,India,10500.0,0.0761,
N,13.1275,,Indonesia,5000.0,0.0362,
N,3.2819,,Iran,2500.0,0.0181,
N,0.0107,,Iraq,143.0,0.001,
N,,,Ireland,,,
N,,,Israel,,,
N,0.1111,,Italy,460.0,0.0033,
N,0.5199,,Japan,995.0,0.0072,
N,0.0247,,"Korea, North",217.0,0.0016,
N,,,"Korea, Republic of",,,
N,0.1425,,Kuwait,521.0,0.0038,
N,0.0003,,Libya,22.0,0.0002,
N,0.397,,Lithuania,870.0,0.0063,
N,0.4739,,Malaysia,950.0,0.0069,
N,0.2636,,Mexico,709.0,0.0051,
N,1.7013,,Netherlands,1800.0,0.013,
N,0.0076,,New Zealand,120.0,0.0009,
N,,,Nigeria,,,
N,0.0473,,Norway,300.0,0.0022,
N,1.5175,,Oman,1700.0,0.0123,
N,3.828,,Pakistan,2700.0,0.0196,
N,0.0,,Peru,5.0,0.0,
N,1.9317,,Poland,1918.0,0.0139,
N,,,Portugal,,,
N,1.8658,,Qatar,1885.0,0.0137,
N,0.0134,,Romania,160.0,0.0012,
N,68.4576,,Russia,11418.0,0.0827,
N,5.0462,,Saudi Arabia,3100.0,0.0225,
N,0.0136,,Serbia and Montenegro,161.0,0.0012,
N,0.1245,,Slovakia,487.0,0.0035,
N,0.2018,,South Africa,620.0,0.0045,
N,0.084,,Spain,400.0,0.0029,
N,0.0005,,Switzerland,30.0,0.0002,
N,0.0038,,Syria,85.0,0.0006,
N,,,Taiwan,,,
N,,,Tajikistan,,,
N,15.5642,,Trinidad and Tobago,5444.0,0.0395,
N,0.021,,Turkey,200.0,0.0014,
N,0.0383,,Turkmenistan,270.0,0.002,
N,9.7091,,Ukraine,4300.0,0.0312,
N,0.0782,,United Arab Emirates,386.0,0.0028,
N,0.189,,United Kingdom,600.0,0.0043,
N,45.9055,,United States,9350.0,0.0678,
N,0.8797,,Uzbekistan,1294.0,0.0094,
N,0.7561,,Venezuela,1200.0,0.0087,
N,0.0473,,Vietnam,300.0,0.0022,
N,0.0004,,Zimbabwe,26.0,0.0002,
K,219.6688,1686.302,Belarus,5306.0,0.1482,35800.0
K,1.217398,,Brazil,395.0,0.011,
K,890.9725,,Canada,10686.0,0.2985,
K,5.40643,,Chile ,832.0,0.0233,
K,112.6681,,China,3800.0,0.1061,
K,,,France ,,,
K,80.63318,,Germany,3215.0,0.0898,
K,20.22487,,Israel,1610.0,0.045,
K,14.32559,,Jordan,1355.0,0.0378,
K,329.4529,,Russia,6498.0,0.1815,
K,2.114303,,Spain,521.0,0.0145,
K,,,Ukraine,,,
K,1.721373,,United Kingdom,470.0,0.0131,
K,7.802503,,United States,1000.0,0.0279,
K,0.09441,,Uzbekistan,110.0,0.0031,
P,0.0,2025.088570533254,Albania,,,61200.0
P,0.3978063992481524,,Algeria,386.0,0.00630718954248366,
P,1.7087444999786408,,Australia,800.0,0.013071895424836602,
P,15.047300183690034,,Brazil,2374.0,0.038790849673202614,
P,0.0,,Burkina Faso,,,
P,0.28200959032850614,,Canada,325.0,0.0053104575163398695,
P,5.1924740484429077e-05,,Chile,4.41,7.205882352941177e-05,
P,1537.870049980777,,China,24000.0,0.39215686274509803,
P,0.0,,Christmas Island,,,
P,0.00021626297577854667,,Colombia,9.0,0.00014705882352941175,
P,5.233030031184587,,Egypt,1400.0,0.02287581699346405,
P,0.26999231064975004,,Finlande,318.0,0.005196078431372549,
P,0.5897838438207526,,India,470.0,0.007679738562091503,
P,0.0,,Indonesia,,,
P,0.03230595070272117,,Iran,110.0,0.0017973856209150326,
P,0.008372848049895338,,Iraq,56.0,0.0009150326797385621,
