Element,HHI Contribution,HHI ,Country,Production,Market Share,Total World Production
Al,797.1807301242808,1409.8664138197419,Australia,62398.0,0.28234389140271493,221000.0
Al,0.15388153938064333,,Bosnia and Herzegovina,866.933,0.003922773755656109,
Al,132.7260384697283,,Brazil,25460.7,0.11520678733031675,
Al,184.27141131426464,,China,30000.0,0.13574660633484162,
Al,0.05118650314285131,,Dominican Republic,500.0,0.0022624434389140274,
Al,0.11462728564607604,,Ghana,748.232,0.0033856651583710406,
Al,0.9253395323601075,,Greece,2125.9,0.009619457013574662,
Al,70.21833316271166,,Guinea,18519.0,0.08379638009049774,
Al,1.0264165352879753,,Guyana,2239.0,0.010131221719457014,
Al,0.06112752810139022,,Hungary,546.4,0.002472398190045249,
Al,84.73160848467475,,India,20343.0,0.09204977375565611,
Al,71.59763313609467,,Indonesia,18700.0,0.08461538461538462,
Al,0.05118650314285131,,Iran,500.0,0.0022624434389140274,
Al,43.452555025490874,,Jamaica,14568.0,0.06591855203619909,
Al,5.04317458692492,,Kazakhstan,4963.0,0.022457013574660633,
Al,0.005032971524948301,,Malaysia,156.785,0.0007094343891402714,
Al,0.09110372531459228,,Montenegro,667.053,0.0030183393665158373,
Al,1.5301903114186846e-05,,Mozambique,8.645,3.9117647058823526e-05,
Al,0.00015351322126901584,,Pakistan,27.382,0.0001239004524886878,
Al,0.0,,Romania,,0.0,
Al,6.828407485514219,,Russia,5775.0,0.026131221719457014,
Al,0.0,,Serbia & Montenegro,,0.0,
Al,0.2798170638602813,,Sierra Leone,1169.04,0.005289773755656108,
Al,5.229810200446348,,Suriname,5054.0,0.022868778280542987,
Al,5.124794537376386e-06,,Tanzania,5.003,2.2638009049773757e-05,
Al,0.024167445813148787,,Turkey,343.564,0.0015545882352941177,
Al,0.0,,United States,,0.0,
Al,5.80134088163633,,Venezuela,5323.0,0.024085972850678733,
Al,0.0013103744804569928,,Vietnam,80.0,0.00036199095022624434,
He,,,,,,
