Element,HHI Contribution,HHI ,Country,Production,Market Share,Total World Production
Al,974.1268196698794,1681.958674453026,Australia,65231.0,0.31211004784688995,209000.0
Al,0.07072545784208237,,Bosnia and Herzegovina,555.82,0.0026594258373205744,
Al,155.64054760651084,,Brazil,26074.0,0.12475598086124402,
Al,366.29198049495204,,China,40000.0,0.19138755980861244,
Al,0.0,,Dominican Republic,,0.0,
Al,0.0,,Fiji,,0.0,
Al,0.05496669032302374,,Ghana,490.0,0.0023444976076555024,
Al,0.8571747441679449,,Greece,1935.0,0.009258373205741627,
Al,42.343352945216445,,Guinea,13600.0,0.06507177033492823,
Al,0.5048476454293629,,Guyana,1485.0,0.007105263157894737,
Al,0.01632036812344039,,Hungary,267.0,0.001277511961722488,
Al,58.60671687919233,,India,16000.0,0.07655502392344497,
Al,49.47002129072137,,Indonesia,14700.0,0.07033492822966507,
Al,0.06238474218172662,,Iran,522.018,0.0024976937799043065,
Al,13.990688802080763,,Jamaica,7817.463,0.037404129186602866,
Al,6.024793388429752,,Kazakhstan,5130.0,0.024545454545454544,
Al,0.015887094760651085,,Malaysia,263.432,0.00126044019138756,
Al,0.0004797776701540717,,Montenegro,45.779,0.00021903827751196175,
Al,2.986777775234084e-06,,Mozambique,3.612,1.7282296650717705e-05,
Al,2.9232389368375267e-05,,Pakistan,11.3,5.4066985645933016e-05,
Al,0.0,,Romania,,0.0,
Al,7.635041551246537,,Russia,5775.0,0.02763157894736842,
Al,0.0,,Serbia & Montenegro,,0.0,
Al,0.13118953320665735,,Sierra Leone,757.0,0.0036220095693779903,
Al,2.62781163434903,,Suriname,3388.0,0.016210526315789474,
Al,0.0034590156818754157,,Tanzania,122.92,0.0005881339712918661,
Al,0.4968435380968842,,Turkey,1473.181,0.007048712918660287,
Al,0.0,,United States,,0.0,
Al,2.985124195874637,,Venezuela,3611.0,0.01727751196172249,
Al,0.0014651679219798081,,Vietnam,80.0,0.0003827751196172249,
He,5135.143995148257,5938.304184628498,United States,177.0,0.7165991902834008,247.0
He,803.1601894802407,,Rest of World,70.0,0.2834008097165992,
Li,11.800270962093235,3196.247908125613,Argentina,12853.0,0.034351522472946136,374161.0
Li,2785.7234402527947,,Australia,197482.0,0.5277995301487862,
Li,18.12424771438722,,Brazil,15929.0,0.042572582391002804,
Li,7.143038069837828,,Canada,10000.0,0.02672646267248591,
Li,66.61379041259495,,Chile,30538.0,0.08161727170923747,
Li,28.57215227935131,,China,20000.0,0.05345292534497182,
Li,0.0,,Namibia,,0.0,
Li,99.69501668860775,,Portugal,37359.0,0.09984739189814011,
Li,0.0,,Russia,,0.0,
Li,0.0,,United States,,0.0,
Li,178.57595174594564,,Zimbabwe,50000.0,0.13363231336242953,
Be,0.0,7319.227814805908,Brazil,,0.0,3590.0
Be,193.97738999542216,,China,500.0,0.1392757660167131,
Be,0.0,,Kazakhstan,,0.0,
Be,0.11173097663736316,,Madagascar,12.0,0.003342618384401114,
