Element,HHI Contribution,HHI ,Country,Production,Market Share,Total World Production
Al,732.254460240937,1626.6258753257787,Australia,80910.0,0.2706020066889632,299000.0
Al,0.0692798738269147,,Bosnia and Herzegovina,787.0,0.002632107023411371,
Al,153.60244840661736,,Brazil,37057.0,0.12393645484949833,
Al,472.5897920604915,,China,65000.0,0.21739130434782608,
Al,0.33245444681826825,,Dominican Republic,1724.0,0.005765886287625418,
Al,0.006990973255332714,,Fiji,250.0,0.0008361204013377926,
Al,0.11774767620048993,,Ghana,1026.0,0.003431438127090301,
Al,0.3754123555664926,,Greece,1832.0,0.006127090301003345,
Al,29.729847428999676,,Guinea,16303.0,0.054525083612040136,
Al,0.2516750371919777,,Guyana,1500.0,0.005016722408026756,
Al,7.158756613460699e-06,,Hungary,8.0,2.6755852842809364e-05,
Al,81.92974306775093,,India,27064.0,0.09051505016722408,
Al,0.004564154763369538,,Indonesia,202.0,0.0006755852842809365,
Al,0.09060301338911196,,Iran,900.0,0.0030100334448160534,
Al,10.37098477645664,,Jamaica,9629.0,0.03220401337792642,
Al,2.453047393205892,,Kazakhstan,4683.0,0.01566220735785953,
Al,137.0230758045212,,Malaysia,35000.0,0.11705685618729098,
Al,0.0,,Mexico,,0.0,
Al,0.00027963893021330853,,Montenegro,50.0,0.00016722408026755852,
Al,2.7963893021330858e-06,,Mozambique,5.0,1.6722408026755853e-05,
Al,0.00010749320477399584,,Pakistan,31.0,0.00010367892976588629,
Al,0.0,,Romania,,0.0,
Al,3.8936924642901087,,Russia,5900.0,0.019732441471571906,
Al,0.6426783816735829,,Saudi Arabia,2397.0,0.008016722408026755,
Al,0.0,,Serbia & Montenegro,,0.0,
Al,0.1990532544378698,,Sierra Leone,1334.0,0.004461538461538461,
Al,0.008154271205020077,,Solomon Islands,270.0,0.000903010033444816,
Al,0.28635026453842793,,Suriname,1600.0,0.005351170568561873,
Al,7.561436672967865e-05,,Tanzania,26.0,8.695652173913044e-05,
Al,0.13534524222324135,,Turkey,1100.0,0.0036789297658862876,
Al,0.0,,United States,,0.0,
Al,0.11007304168857174,,Venezuela,992.0,0.0033177257525083613,
Al,0.14792899408284024,,Vietnam,1150.0,0.0038461538461538464,
He,3056.381783330029,5055.852997554366,United States,136.0,0.5528455284552846,246.0
He,1999.471214224337,,Rest of World,110.0,0.44715447154471544,
Li,9.375786201719277,5790.199080186408,Argentina,19985.0,0.03061990561990562,652680.0
Li,5636.2668975281595,,Australia,490000.0,0.7507507507507507,
Li,1.6960444954036211,,Brazil,8500.0,0.013023227308941595,
Li,0.0,,Canada,,0.0,
Li,74.60578425812976,,Chile,56375.0,0.08637463994606852,
Li,2.6876143152769627,,China,10700.0,0.016393944965373535,
Li,0.0,,Namibia,,0.0,
Li,6.8802926471090275,,Portugal,17120.0,0.02623031194459766,
Li,0.0,,Russia,,0.0,
Li,0.0,,United States,,0.0,
Li,58.68666074060972,,Zimbabwe,50000.0,0.07660721946436232,
Be,0.0,7975.763029780623,Brazil,,0.0,5740.0
Be,75.87806092097756,,China,500.0,0.08710801393728224,
Be,0.0,,Kazakhstan,,0.0,
Be,5.531510641139263,,Madagascar,135.0,0.023519163763066203,
Be,0.0,,Mozambique,,0.0,
Be,0.0,,Portugal,,0.0,
Be,0.0,,Russia,,0.0,
Be,7894.353458218506,,United States,5100.0,0.8885017421602788,
Be,0.0,,Zambia,,0.0,
B,23.015443646828306,6149.34022394879,Argentina,450.0,0.04797441364605544,9380.0
B,2.557271516314256,,Bolivia,150.0,0.015991471215351813,
B,28.414127959047285,,Chile,500.0,0.053304904051172705,
B,2.9096067030064416,,China,160.0,0.017057569296375266,
B,0.0,,Germany,,0.0,
B,0.00011365651183618914,,Iran,1.0,0.00010660980810234541,
B,28.414127959047285,,Kazakhstan,500.0,0.053304904051172705,
B,6.546615081764495,,Peru,240.0,0.0255863539445629,
B,0.7274016757516104,,Russia,80.0,0.008528784648187633,
B,6056.7555157505185,,Turkey,7300.0,0.7782515991471215,
B,0.0,,United States,,0.0,
N,0.000723424,1416.042,Afghanistan,39.0,0.0003,145000.0
N,,,Albania,,,
N,0.607324614,,Algeria,1130.0,0.0078,
N,0.171224732,,Argentina,600.0,0.0041,
N,0.803804994,,Australia,1300.0,0.009,
N,0.076099881,,Austria,400.0,0.0028,
N,0.082309631,,Bahrain,416.0,0.0029,
N,0.233055886,,Bangladesh,700.0,0.0048,
N,0.53481482,,Belarus,1060.0,0.0073,
N,0.327657551,,Belgium,830.0,0.0057,
N,,,Bosnia and Herzegovina,,,
N,0.429250892,,Brazil,950.0,0.0066,
N,0.046596433,,Bulgaria,313.0,0.0022,
N,,,Burma,,,
N,7.609988109,,Canada,4000.0,0.0276,
N,1175.1184,,China,49706.0,0.3428,
N,,,Colombia,,,
N,0.066884661,,Croatia,375.0,0.0026,
N,0.001627705,,Cuba,59.0,0.0004,
N,0.015410226,,Czech Republic,180.0,0.0012,
N,,,Denmark,,,
N,1.541022592,,Egypt,1800.0,0.0124,
N,0.00058264,,Estonia,35.0,0.0002,
N,0.002893698,,Finland,78.0,0.0005,
N,3.215219976,,France,2600.0,0.0179,
N,0.017170036,,Georgia,190.0,0.0013,
N,2.972651605,,Germany,2500.0,0.0172,
N,0.00803805,,Greece,130.0,0.0009,
N,0.042806183,,Hungary,300.0,0.0021,
N,,,Iceland,,,
N,55.47681332,,India,10800.0,0.0745,
N,11.89060642,,Indonesia,5000.0,0.0345,
N,2.972651605,,Iran,2500.0,0.0172,
N,0.01294887,,Iraq,165.0,0.0011,
N,,,Ireland,,,
N,,,Israel,,,
N,0.154530321,,Italy,570.0,0.0039,
N,0.296837099,,Japan,790.0,0.0054,
N,0.028085137,,"Korea, North",243.0,0.0017,
N,,,"Korea, Republic of",,,
N,0.096313912,,Kuwait,450.0,0.0031,
N,0.03365327,,Libya,266.0,0.0018,
N,0.364923478,,Lithuania,876.0,0.006,
N,0.475624257,,Malaysia,1000.0,0.0069,
N,0.575505351,,Mexico,1100.0,0.0076,
N,1.541022592,,Netherlands,1800.0,0.0124,
N,0.007431629,,New Zealand,125.0,0.0009,
N,,,Nigeria,,,
N,0.042806183,,Norway,300.0,0.0021,
N,1.374554102,,Oman,1700.0,0.0117,
N,3.215219976,,Pakistan,2600.0,0.0179,
N,1.18906e-05,,Peru,5.0,0.0,
N,2.302021403,,Poland,2200.0,0.0152,
N,,,Portugal,,,
N,4.418693936,,Qatar,3048.0,0.021,
