Element,HHI Contribution,HHI ,Country,Production,Market Share,Total World Production
Al,1134.6678705340237,1678.9913313991178,Australia,59959.0,0.3368483146067416,178000.0
Al,0.33589057502966785,,Bosnia and Herzegovina,1031.618,0.005795606741573033,
Al,153.23101754828934,,Brazil,22034.0,0.12378651685393259,
Al,152.75849008963513,,China,22000.0,0.12359550561797752,
Al,0.09018717586952407,,Dominican Republic,534.5550000000001,0.00300311797752809,
Al,0.116288663047595,,Ghana,607.0,0.003410112359550562,
Al,1.9647219416740311,,Greece,2495.0,0.01401685393258427,
Al,89.26003313975511,,Guinea,16817.0,0.09447752808988764,
Al,0.9057050877414468,,Guyana,1694.0,0.009516853932584269,
Al,0.09033739426840046,,Hungary,535.0,0.00300561797752809,
Al,48.41188770357279,,India,12385.0,0.06957865168539326,
Al,0.6562820350965789,,Indonesia,1442.0,0.008101123595505619,
Al,0.06043725035506881,,Iran,437.595,0.0024583988764044946,
Al,62.89024618103774,,Jamaica,14116.0,0.07930337078651685,
Al,7.318544741825527,,Kazakhstan,4815.400000000001,0.027052808988764047,
Al,7.076197765433659e-06,,Malaysia,4.735,2.660112359550562e-05,
Al,0.14267384137892944,,Montenegro,672.345,0.0037772191011235957,
Al,2.8592451710642605e-05,,Mozambique,9.518,5.347191011235956e-05,
Al,1.3351223330387581e-05,,Pakistan,6.5040000000000004,3.653932584269663e-05,
Al,0.0,,Romania,,0.0,
Al,7.89041787653074,,Russia,5000.0,0.028089887640449437,
Al,0.0,,Serbia & Montenegro,,0.0,
Al,0.0,,Sierra Leone,,0.0,
Al,7.142106110339603,,Suriname,4757.0,0.026724719101123597,
Al,8.488827168286833e-07,,Tanzania,1.6400000000000001,9.213483146067416e-06,
Al,0.07131570250000001,,Turkey,475.349,0.0026705,
Al,0.0,,United States,,0.0,
Al,10.986617851281405,,Venezuela,5900.0,0.03314606741573034,
Al,0.00021008711021335694,,Vietnam,25.8,0.00014494382022471912,
He,7052.28778120326,7308.995451909283,United States,152.0,0.8397790055248618,181.0
He,256.70767070602244,,Rest of World,29.0,0.16022099447513813,
Li,20.873889778137414,2984.3548676369837,Argentina,15704.0,0.0456879522173378,343723.0
Li,2551.863002735541,,Australia,173635.0,0.5051596779965263,
Li,6.740652458926192,,Brazil,8924.0,0.025962766530025633,
Li,42.84970624156286,,Canada,22500.0,0.06545968701541649,
Li,165.92795865300428,,Chile,44276.0,0.128813026768648,
Li,19.044313885139044,,China,15000.0,0.04363979134361099,
Li,0.0,,Namibia,,0.0,
Li,58.03473012254111,,Portugal,26185.0,0.07618052908883025,
Li,0.0,,Russia,,0.0,
Li,0.0,,United States,,0.0,
Li,119.02061376213206,,Zimbabwe,37499.0,0.10909656903960456,
Be,0.0,6721.180424280615,Brazil,,0.0,3450.0
Be,210.03990758244066,,China,500.0,0.14492753623188406,
Be,0.0,,Kazakhstan,,0.0,
Be,0.12098298676748581,,Madagascar,12.0,0.0034782608695652175,
Be,17.90884268010922,,Mozambique,146.0,0.042318840579710144,
Be,0.02100399075824407,,Portugal,5.0,0.0014492753623188406,
Be,0.0,,Russia,,0.0,
Be,6493.0896870405395,,United States,2780.0,0.8057971014492754,
Be,0.0,,Zambia,,0.0,
B,163.42239170043874,2426.4047228903173,Argentina,632.792,0.1278367676767677,4950.0
