Element,HHI Contribution,HHI ,Country,Production,Market Share,Total World Production
Al (Alumina/Bauxite),881.0040309467214,3050.175246812194,Australia,76282,0.2968171206225681,257000
,0.0969743220724008,,Bosnia and Herzegovina,800.316,0.003114070038910506,
,185.34120789111114,,Brazil,34988,0.13614007782101167,
,334.4486668988175,,China,47000,0.1828793774319066,
,1.6762174143438964e-05,,Dominican Republic,10.522,4.0941634241245135e-05,
,0.013626247180123847,,Fiji,300,0.0011673151750972762,
,0.07632212448333811,,Ghana,710,0.002762645914396887,
,0.4993044557828278,,Greece,1816,0.007066147859922179,
Element,HHI Contribution,HHI ,Country,Production,Market Share,Total World Production
Al,881.0040309467214,1651.1795374010237,Australia,76282,0.2968171206225681,257000
Al,0.0969743220724008,,Bosnia and Herzegovina,800.316,0.003114070038910506,
Al,185.34120789111114,,Brazil,34988,0.13614007782101167,
Al,334.4486668988175,,China,47000,0.1828793774319066,
Al,1.6762174143438964e-05,,Dominican Republic,10.522,4.0941634241245135e-05,
Al,0.013626247180123847,,Fiji,300,0.0011673151750972762,
Al,0.07632212448333811,,Ghana,710,0.002762645914396887,
Al,0.4993044557828278,,Greece,1816,0.007066147859922179,
Al,38.957998001483745,,Guinea,16041,0.062416342412451364,
Al,0.7395879533564474,,Guyana,2210.182,0.008599929961089494,
Al,0.0031394873503005345,,Hungary,144,0.0005603112840466926,
Al,35.44186891550212,,India,15300,0.059533073929961086,
Al,149.6890361534618,,Indonesia,31443.3,0.12234747081712062,
Al,0.12046571484806734,,Iran,892,0.003470817120622568,
Al,13.205704307814047,,Jamaica,9339.291,0.03633965369649805,
Al,4.046828869475692,,Kazakhstan,5170,0.02011673151750973,
Al,0.002248789251767627,,Malaysia,121.873,0.00047421400778210117,
Al,0.0013953277112446819,,Mexico,96,0.0003735408560311284,
Al,0,,Montenegro,,0,
Al,1.0561235446410997e-05,,Mozambique,8.352,3.249805447470817e-05,
Al,0.0001379756459598177,,Pakistan,30.188,0.00011746303501945525,
Al,0,,Romania,,0,
Al,4.919075232024709,,Russia,5700,0.02217898832684825,
Al,0.08745022634710593,,Saudi Arabia,760,0.0029571984435797665,
Al,0,,Serbia & Montenegro,,0,
Al,0.09117110024375841,,Sierra Leone,776,0.0030194552529182878,
Al,0,,Solomon Islands,,0,
Al,1.2496978001180943,,Suriname,2873,0.011178988326848249,
Al,0.0005270329603779013,,Tanzania,59,0.00022957198443579767,
Al,0.3503304096201305,,Turkey,1521.15,0.00591887159533074,
Al,0,,United States,,0,
Al,0.7911998667655831,,Venezuela,2286,0.008894941634241245,
Al,0.0015140274644582052,,Vietnam,100,0.0003891050583657588,
He,5889.67009194159,6430.502974580854,United States,132,0.7674418604651163,172
He,540.8328826392644,,Rest of World,40,0.23255813953488372,
Li,5.47037135992624,5408.81941819125,Argentina,14832,0.023388825023772014,634149
Li,5191.580748683202,,Australia,456921,0.7205262485630348,
Li,1.2478847608496295,,Brazil,7084,0.011170876245172665,
Li,0,,Canada,,0,
Li,127.53025849073919,,Chile,71614,0.11292929579641378,
Li,2.4866655407546903,,China,10000,0.015769164660040462,
Li,0,,Namibia,,0,
Li,10.65305431597865,,Portugal,20698,0.03263901701335175,
Li,0,,Russia,,0,
Li,0,,United States,,0,
Li,69.85043503979928,,Zimbabwe,53000,0.08357657269821446,
Be,0,7222.857221328341,Brazil,,0,6610
Be,57.2185818488926,,China,500,0.07564296520423601,
Be,0,,Kazakhstan,,0,
Be,0.058591827813266,,Madagascar,16,0.002420574886535552,
Be,64.77692763680389,,Mozambique,532,0.0804841149773071,
Be,0,,Portugal,,0,
Be,0,,Russia,,0,
Be,7100.803120014832,,United States,5570,0.8426626323751891,
