Element,HHI Contribution,HHI ,Country,Production,Market Share,Total World Production
Al,1024.6633198206664,1608.1753522678869,Australia,61780.0,0.3201036269430052,193000.0
Al,0.19581633821283795,,Bosnia and Herzegovina,854.047,0.004425113989637306,
Al,144.95037120191148,,Brazil,23236.3,0.12039533678756477,
Al,195.70995194501864,,China,27000.0,0.13989637305699482,
Al,0.0671158957287444,,Dominican Republic,500.0,0.0025906735751295338,
Al,0.19033101559773422,,Ghana,842.0,0.004362694300518135,
Al,1.2560253966549437,,Greece,2163.0,0.011207253886010363,
Al,94.72432978066526,,Guinea,18784.0,0.09732642487046632,
Al,0.5872482482751213,,Guyana,1479.0,0.00766321243523316,
Al,0.07779185749953019,,Hungary,538.3,0.002789119170984456,
Al,52.168809900936935,,India,13940.0,0.0722279792746114,
Al,0.605654916910521,,Indonesia,1502.0,0.007782383419689119,
Al,0.0671158957287444,,Iran,500.0,0.0025906735751295338,
Al,59.32192139386292,,Jamaica,14865.0,0.07702072538860104,
Al,6.403259802947731,,Kazakhstan,4883.8,0.025304663212435234,
Al,0.002262702793632044,,Malaysia,91.806,0.0004756787564766839,
Al,0.11671958895540821,,Montenegro,659.37,0.0034164248704663214,
Al,3.2892899406695486e-05,,Mozambique,11.069,5.735233160621762e-05,
Al,4.4792850546323396e-05,,Pakistan,12.917,6.692746113989637e-05,
Al,0.0,,Romania,,0.0,
Al,10.65531960589546,,Russia,6300.0,0.032642487046632127,
Al,0.0,,Serbia & Montenegro,,0.0,
Al,0.30801924873150965,,Sierra Leone,1071.14,0.005549948186528498,
Al,6.5091078955139725,,Suriname,4924.0,0.025512953367875648,
Al,7.750309806974683e-06,,Tanzania,5.373,2.783937823834197e-05,
Al,0.15967974590700418,,Turkey,771.227,0.00399599481865285,
Al,0.0,,United States,,0.0,
Al,9.434128164514483,,Venezuela,5928.0,0.030715025906735752,
Al,0.0009664688984939191,,Vietnam,60.0,0.000310880829015544,
He,5092.464017280522,5912.627565077476,United States,152.0,0.7136150234741784,213.0
He,820.163547796954,,Rest of World,61.0,0.2863849765258216,
Li,17.634003673581283,3518.353795781378,Argentina,16564.0,0.04199286090942279,394448.0
Li,3170.4543997082997,,Australia,222101.0,0.5630678822050055,
Li,4.736974886288847,,Brazil,8585.0,0.02176459254451791,
Li,32.53760027168417,,Canada,22500.0,0.0570417393420679,
Li,168.49125676841317,,Chile,51201.0,0.1298041820468097,
Li,14.46115567630408,,China,15000.0,0.03802782622804527,
Li,0.0,,Namibia,,0.0,
Li,52.19378209158995,,Portugal,28497.0,0.0722452642680404,
Li,0.0,,Russia,,0.0,
Li,0.0,,United States,,0.0,
Li,57.84462270521632,,Zimbabwe,30000.0,0.07605565245609054,
Be,0.0,7848.310853463512,Brazil,,0.0,4360.0
Be,131.5124989479,,China,500.0,0.11467889908256881,
Be,0.0,,Kazakhstan,,0.0,
Be,0.07575119939399041,,Madagascar,12.0,0.0027522935779816515,
Be,0.13466879892264963,,Mozambique,16.0,0.003669724770642202,
Be,0.013151249894790003,,Portugal,5.0,0.0011467889908256881,
Be,0.0,,Russia,,0.0,
Be,7716.574783267401,,United States,3830.0,0.8784403669724771,
Be,0.0,,Zambia,,0.0,
B,217.22444081758798,3070.9634189028106,Argentina,533.535,0.1473853591160221,3620.0
B,1.1364620135221761,,Bolivia,38.591,0.010660497237569061,
B,161.22334942843622,,Chile,459.645,0.12697375690607735,
B,16.044229419126403,,China,145.0,0.04005524861878453,
B,0.0,,Germany,,0.0,
B,0.0030524098775983645,,Iran,2.0,0.0005524861878453039,
B,0.6867922224596319,,Kazakhstan,30.0,0.008287292817679558,
B,27.78047068160313,,Peru,190.8,0.05270718232044199,
B,122.09639510393455,,Russia,400.0,0.11049723756906077,
B,2524.768226806263,,Turkey,1818.944,0.5024707182320441,
B,0.0,,United States,,0.0,
N,0.000255,1321.471,Afghanistan,20.0,0.0002,125317.0
N,6.37e-05,,Albania,10.0,0.0001,
N,0.140661,,Algeria,470.0,0.0038,
N,0.336519,,Argentina,727.0,0.0058,
N,0.91694,,Australia,1200.0,0.0096,
N,0.101882,,Austria,400.0,0.0032,
N,0.087358,,Bahrain,370.0,0.003,
N,0.994943,,Bangladesh,1250.0,0.01,
N,0.422954,,Belarus,815.0,0.0065,
N,0.460062,,Belgium,850.0,0.0068,
N,1.59e-07,,Bosnia and Herzegovina,1.0,0.0,
N,0.574679,,Brazil,950.0,0.0076,
N,0.060799,,Bulgaria,309.0,0.0025,
N,0.000573,,Burma,30.0,0.0002,
N,10.704,,Canada,4100.0,0.0327,
N,1052.72,,China,40660.0,0.3245,
N,,,Colombia,,,
N,0.064798,,Croatia,319.0,0.0025,
N,0.001139,,Cuba,42.0,0.0003,
N,0.039798,,Czech Republic,250.0,0.002,
N,1.63e-06,,Denmark,2.0,0.0,
N,2.063114,,Egypt,1800.0,0.0144,
N,0.018402,,Estonia,170.0,0.0014,
N,0.002448,,Finland,62.0,0.0005,
N,0.241624,,France,616.0,0.0049,
N,0.012481,,Germany,140.0,0.0011,
N,4.702432,,Georgia,2718.0,0.0217,
N,0.010761,,Greece,130.0,0.001,
N,0.048155,,Hungary,275.0,0.0022,
N,,,Iceland,,,
N,75.65389,,India,10900.0,0.087,
N,11.77376,,Indonesia,4300.0,0.0343,
N,0.662489,,Iran,1020.0,0.0081,
N,6.37e-05,,Iraq,10.0,0.0001,
N,,,Ireland,,,
N,,,Israel,,,
N,0.14671,,Italy,480.0,0.0038,
N,0.757928,,Japan,1091.0,0.0087,
N,0.006368,,"Korea, North",100.0,0.0008,
N,0.005158,,"Korea, Republic of",90.0,0.0007,
N,0.156023,,Kuwait,495.0,0.0039,
N,0.170859,,Libya,518.0,0.0041,
N,0.130843,,Lithuania,453.0,0.0036,
N,0.574679,,Malaysia,950.0,0.0076,
N,0.150787,,Mexico,487.0,0.0039,
N,2.063114,,Netherlands,1800.0,0.0144,
N,0.009169,,New Zealand,120.0,0.001,
N,0.078004,,Nigeria,350.0,0.0028,
N,0.636764,,Norway,1000.0,0.008,
N,3.081936,,Pakistan,2200.0,0.0176,
N,1.59e-05,,Peru,5.0,0.0,
N,2.564915,,Poland,2007.0,0.016,
N,0.03791,,Portugal,244.0,0.0019,
N,1.432718,,Qatar,1500.0,0.012,
N,1.076131,,Romania,1300.0,0.0104,
N,70.2032,,Russia,10500.0,0.0838,
N,2.547055,,Saudi Arabia,2000.0,0.016,
N,0.004075,,Serbia and Montenegro,80.0,0.0006,
N,0.037102,,Slovakia,241.0,0.0019,
N,0.14671,,South Africa,480.0,0.0038,
N,0.101882,,Spain,400.0,0.0032,
N,0.000652,,Switzerland,32.0,0.0003,
N,0.009169,,Syria,120.0,0.001,
N,8.42e-05,,Taiwan,12.0,0.0001,
N,0.00078,,Tajikistan,35.0,0.0003,
N,16.63049,,Trinidad and Tobago,5111.0,0.0408,
N,0.00535,,Turkey,92.0,0.0007,
N,0.039798,,Turkmenistan,250.0,0.002,
N,11.23251,,Ukraine,4200.0,0.0335,
N,0.091949,,United Arab Emirates,380.0,0.003,
N,0.35818,,United Kingdom,750.0,0.006,
N,42.71162,,United States,8190.0,0.0654,
N,0.562644,,Uzbekistan,940.0,0.0075,
N,0.856829,,Venezuela,1160.0,0.0093,
N,0.033685,,Vietnam,230.0,0.0018,
N,6.37e-05,,Zimbabwe,10.0,0.0001,
N,229.4627013,1633.2428,Belarus,4605.0,0.1515,30400.0
N,1.758066638,,Brazil,403.0,0.0133,
N,785.1793906,,Canada,8518.0,0.2802,
N,2.662049861,,Chile ,496.0,0.0163,
N,35.05886427,,China,1800.0,0.0592,
N,,,France ,,,
N,142.1881303,,Germany,3625.0,0.1192,
N,51.7547719,,Israel,2187.0,0.0719,
N,11.61374654,,Jordan,1036.0,0.0341,
N,356.5140235,,Russia,5740.0,0.1888,
N,2.049333519,,Spain,435.0,0.0143,
N,,,Ukraine,,,
N,1.908760388,,United Kingdom,420.0,0.0138,
N,13.09297091,,United States,1100.0,0.0362,
P,0.0,1461.1884867781498,Albania,,,46778.0
P,0.9254260672124458,,Algeria,450.0,0.009619906793791953,
P,2.7095561246926385,,Australia,770.0,0.016460729402710678,
P,20.365410455635722,,Brazil,2111.0,0.045128051648210696,
P,1.9308272266531277e-06,,Burkina Faso,0.65,1.3895420924366156e-05,
P,0.12441839348078437,,Canada,165.0,0.0035272991577237163,
P,6.495302790461122e-05,,Chile,3.77,8.05934413613237e-05,
P,614.9399091560826,,China,11600.0,0.2479798195733037,
P,0.0,,Christmas Island,,,
P,0.0002924803372918348,,Colombia,8.0,0.00017102056522296807,
P,1.9486913772542807,,Egypt,653.0,0.013959553636324768,
P,0.4113004743166426,,Finlande,300.0,0.006413271195861302,
P,0.5759349141750542,,India,355.0,0.007589037581769207,
P,0.0,,Indonesia,,,
P,0.007312008432295869,,Iran,40.0,0.0008551028261148403,
P,0.0,,Iraq,,,
P,2.9983804577683246,,Israel,810.0,0.017315832228825517,
P,15.810390232731741,,Jordan,1860.0,0.03976228141434007,
P,0.17377445039878153,,Kazakhstan,195.0,0.004168626277309847,
P,0.04124429756341888,,"Korea, North",95.0,0.0020308692120227455,
P,2.3135651680311146e-05,,Mexico,2.25,,
P,345.90369890029643,,Morocco,8700.0,0.18598486467997777,
P,0.0013207315230834413,,Nauru,17.0,0.0003634187010988071,
P,0.0,,Pakistan,,,
P,0.000552970637692375,,Peru,11.0,0.0002351532771815811,
P,2.00587956704345e-06,,Philippines,0.6625125000000001,1.4162907777160205e-05,
P,73.12008432295868,,Russia,4000.0,0.08551028261148404,
P,0.1480681707539913,,Senegal,180.0,0.0038479627175167816,
P,4.2645278379046765,,South Africa,966.0,0.020650733250673393,
P,0.0010010139543813047,,Sri Lanka,14.8,0.00031638804566249095,
P,5.835439729499121,,Syria,1130.0,0.024156654837744238,
P,3.379975897828764e-06,,Tanzania,0.86,1.8384710761469065e-05,
P,0.0,,Thailand,,,
P,1.5908188345513699,,Togo,590.0,0.012612766685193894,
P,24.17532787927821,,Tunisia,2300.0,0.049168412501603316,
P,344.31516506838005,,United States,8680.0,0.18555731326692035,
P,0.08957210329562439,,Uzbekistan,140.0,0.002992859891401941,
P,0.060438319698195526,,Venezuela,115.0,0.002458420625080166,
P,0.6256337214883151,,Vietnam,370.0,0.007909701141562272,
P,0.002015372324151549,,Zimbabwe,21.0,0.00044892898371029114,
P,0.0,,Argentina,,,
P,0.0002924803372918348,,France,8.0,0.00017102056522296807,
P,0.0,,Germany,,,
P,0.022393025823906097,,Luxembourg,70.0,0.0014964299457009705,
S,1.9600000000000004,777.6419636215596,Australia,938.0,0.014,67000.0
S,0.42288038408554246,,Brazil,435.696,0.006502925373134329,
S,183.7561931953687,,Canada,9082.299,0.13555670149253732,
S,5.998843840498999,,Chile,1641.0,0.024492537313432837,
S,134.1447983960793,,China,7760.0,0.11582089552238806,
S,0.8425595901091557,,Finland,615.0,0.00917910447761194,
S,4.158154027079527,,France,1366.234,0.02039155223880597,
S,37.88158141253954,,Germany,4123.717,0.06154801492537313,
S,3.0494542214301625,,India,1170.0,0.01746268656716418,
S,4.813766985965693,,Iran,1470.0,0.021940298507462687,
S,1.2198707952773449,,Italy,740.0,0.011044776119402985,
S,24.159513830331925,,Japan,3293.206,0.04915232835820896,
S,8.910670527957228,,Kazakhstan,2000.0,0.029850746268656716,
S,0.9703720204945423,,South Korea,660.0,0.009850746268656717,
S,1.5346402316774337,,Kuwait,830.0,0.012388059701492538,
S,6.61769481730675,,Mexico,1723.567,0.025724880597014926,
S,0.6257518378257965,,Netherlands,530.0,0.00791044776119403,
S,2.227667631989307,,Poland,1000.0,0.014925373134328358,
S,0.2887057251058142,,Qatar,360.0,0.005373134328358209,
S,107.6019157941635,,Russia,6950.0,0.10373134328358209,
S,18.825120681846734,,Saudi Arabia,2906.991,0.04338792537313433,
S,0.9196781373156605,,South Africa,642.529,0.009589985074626866,
S,0.8513587641100467,,Spain,618.203,0.009226910447761194,
S,8.470706170639339,,United Arab Emirates,1950.0,0.029104477611940297,
S,182.85497883715752,,United States,9060.0,0.13522388059701493,
S,0.6023613276899087,,Uzbekistan,520.0,0.007761194029850746,
S,1.4257072844731569,,Venezuela,800.0,0.011940298507462687,
S,32.50701715304076,,Other,3820.0,0.05701492537313433,
Ca,0.3151738996614343,3276.207986973761,Australia,1600.0,0.005614035087719298,285000.0
Ca,0.02666150423687288,,Austria,465.358,0.0016328350877192982,
Ca,0.709141274238227,,Belgium,2400.0,0.008421052631578947,
Ca,0.005857404818836564,,Bosnia and Herzegovina,218.121,0.0007653368421052632,
Ca,6.131271037242229,,Brazil,7057.0,0.02476140350877193,
Ca,0.24441748230224686,,Bulgaria,1409.0,0.004943859649122807,
Ca,0.5877777777777777,,Canada,2185.0,0.007666666666666666,
Ca,0.0827823945829486,,Chile,820.0,0.0028771929824561405,
Ca,3151.7389966143423,,China,160000.0,0.5614035087719298,
Ca,0.0,,Colombia,,,
Ca,0.00829345731301939,,Croatia,259.545,0.0009106842105263158,
Ca,0.18264376731301937,,Czech Republic,1218.0,0.004273684210526316,
Ca,0.07879347491535857,,Egypt,800.0,0.002807017543859649,
Ca,0.02276392736226531,,Finland,430.0,0.0015087719298245614,
Ca,1.9698368728839641,,France,4000.0,0.014035087719298246,
Ca,6.23947811634349,,Germany,7119.0,0.024978947368421052,
Ca,0.03077870113881194,,Hungary,500.0,0.0017543859649122807,
Ca,17.728531855955676,,India,12000.0,0.042105263157894736,
Ca,0.8322560787934749,,Iran,2600.0,0.009122807017543859,
Ca,0.003083717290981841,,Israel,158.264,0.0005553122807017545,
Ca,4.285626346568174,,Italy,5900.0,0.020701754385964912,
Ca,0.011362437922437671,,Jamaica,303.795,0.0010659473684210526,
Ca,10.003951947058665,,Japan,9014.272,0.03162902456140351,
Ca,0.12020064670187752,,Kazakhstan,988.094,0.0034669964912280703,
Ca,1.685441674361342,,South Korea,3700.0,0.012982456140350877,
Ca,0.07879347491535857,,Malaysia,800.0,0.002807017543859649,
Ca,5.201600492459218,,Mexico,6500.0,0.02280701754385965,
Ca,0.005717482302246846,,Peru,215.5,0.000756140350877193,
Ca,0.4614461064943059,,Poland,1936.0,0.006792982456140351,
