Element,HHI Contribution,HHI ,Country,Production,Market Share,Total World Production
Al,795.8364113411867,1444.4631585852703,Australia,64038.0,0.2821057268722467,227000.0
Al,0.20124630768868013,,Bosnia and Herzegovina,1018.333,0.00448604845814978,
Al,153.20877685381046,,Brazil,28097.5,0.12377753303964757,
Al,237.73021017291234,,China,35000.0,0.15418502202643172,
Al,0.031050476430747737,,Dominican Republic,400.0,0.001762114537444934,
Al,0.0,,Fiji,,0.0,
Al,0.1229629917134041,,Ghana,796.0,0.0035066079295154183,
Al,0.9191487686545443,,Greece,2176.3,0.009587224669603525,
Al,49.68076228919638,,Guinea,16000.0,0.07048458149779736,
Al,0.8631801509829418,,Guyana,2109.0,0.009290748898678414,
Al,0.05067457160045799,,Hungary,511.0,0.002251101321585903,
Al,87.30309146305963,,India,21210.0,0.09343612334801762,
Al,56.08492305303809,,Indonesia,17000.0,0.07488986784140969,
Al,0.09930522325700092,,Iran,715.339,0.003151273127753304,
Al,41.571250363872764,,Jamaica,14636.0,0.06447577092511013,
Al,5.167310060354364,,Kazakhstan,5160.1,0.02273171806167401,
Al,0.016908705966737173,,Malaysia,295.176,0.0013003348017621144,
Al,0.08758757587397388,,Montenegro,671.811,0.0029595198237885464,
Al,5.749432164412271e-06,,Mozambique,5.443,2.3977973568281935e-05,
Al,0.00012129092355760835,,Pakistan,25.0,0.00011013215859030837,
Al,0.0,,Romania,,0.0,
Al,6.25,,Russia,5675.0,0.025,
Al,0.0,,Serbia & Montenegro,,0.0,
Al,0.1767591253274855,,Sierra Leone,954.37,0.004204273127753304,
Al,5.519394709775077,,Suriname,5333.0,0.023493392070484582,
Al,8.236162180519706e-05,,Tanzania,20.601,9.07533039647577e-05,
Al,0.13046671295464693,,Turkey,819.928,0.0036120176211453746,
Al,0.0,,United States,,0.0,
Al,3.410286246579596,,Venezuela,4192.0,0.018466960352422908,
Al,0.0012420190572299096,,Vietnam,80.0,0.0003524229074889868,
He,5484.672887379422,6157.630293587296,United States,177.0,0.7405857740585774,239.0
He,672.9574062078746,,Rest of World,62.0,0.2594142259414226,
Li,15.435983825133354,3198.005395012262,Argentina,17800.0,0.03928865462844631,453057.0
Li,2795.1613771066773,,Australia,239528.0,0.5286928576316005,
Li,10.18663854176005,,Brazil,14460.0,0.03191651381614234,
Li,23.579775821754023,,Canada,22000.0,0.04855901133852915,
Li,157.62632710596347,,Chile,56881.0,0.1255493238157671,
Li,14.920054432669769,,China,17500.0,0.03862648629201182,
Li,0.0,,Namibia,,0.0,
Li,59.29887546263232,,Portugal,34888.0,0.07700576307175477,
Li,0.0,,Russia,,0.0,
Li,0.0,,United States,,0.0,
Li,121.79636271567162,,Zimbabwe,50000.0,0.11036138940574806,
Be,0.0,8071.896359553509,Brazil,,0.0,4940.0
Be,102.44390171941845,,China,500.0,0.10121457489878542,
Be,0.0,,Kazakhstan,,0.0,
Be,0.05900768739038503,,Madagascar,12.0,0.0024291497975708503,
Be,0.026225638840171123,,Mozambique,8.0,0.0016194331983805667,
Be,0.010244390171941843,,Portugal,5.0,0.0010121457489878543,
Be,0.0,,Russia,,0.0,
Be,7969.356980117688,,United States,4410.0,0.8927125506072875,
Be,0.0,,Zambia,,0.0,
B,307.4644829246054,2909.6794797522725,Argentina,785.553,0.1753466517857143,4480.0
B,1.5463588667889032,,Bolivia,55.71,0.012435267857142857,
B,169.62387828643176,,Chile,583.474,0.13023973214285714,
B,9.765625,,China,140.0,0.03125,
B,0.0,,Germany,,0.0,
B,0.0005183753188775512,,Iran,1.02,0.00022767857142857144,
B,0.44842155612244894,,Kazakhstan,30.0,0.006696428571428571,
B,60.99714598662709,,Peru,349.891,0.07810066964285715,
B,79.71938775510205,,Russia,400.0,0.08928571428571429,
B,2280.113661001276,,Turkey,2139.224,0.4775053571428572,
B,0.0,,United States,,0.0,
N,0.000214158,1398.520744,Afghanistan,18.0,0.00015,123000.0
N,,,Albania,,,
N,0.165245555,,Algeria,500.0,0.00407,
N,,,Argentina,,,
N,,,Australia,,,
N,0.105757155,,Austria,400.0,0.00325,
N,0.102088043,,Bahrain,393.0,0.0032,
N,1.117059951,,Bangladesh,1300.0,0.01057,
N,0.365287567,,Belarus,743.0,0.00604,
N,0.455350651,,Belgium,830.0,0.00675,
N,,,Bosnia and Herzegovina,,,
N,,,Brazil,,,
N,0.080970322,,Bulgaria,350.0,0.00285,
N,0.000594884,,Burma,30.0,0.00024,
N,10.15691718,,Canada,3920.0,0.03187,
N,1118.712142,,China,41140.0,0.33447,
N,,,Colombia,,,
N,0.0594884,,Croatia,300.0,0.00244,
N,0.001149375,,Cuba,42.0,0.00034,
N,0.02024258,,Czech Republic,175.0,0.00142,
N,,,Denmark,,,
N,4.131138872,,Egypt,2500.0,0.02033,
N,0.004116005,,Estonia,79.0,0.00064,
N,0.003606637,,Finland,74.0,0.0006,
N,0.423028621,,France,800.0,0.0065,
N,0.0148721,,Germany,150.0,0.00122,
N,5.253632963,,Georgia,2819.0,0.02292,
N,0.0111706,,Greece,130.0,0.00106,
N,0.0594884,,Hungary,300.0,0.00244,
N,,,Iceland,,,
N,81.43961927,,India,11100.0,0.09024,
N,13.38488995,,Indonesia,4500.0,0.03659,
N,2.643928878,,Iran,2000.0,0.01626,
N,6.60982e-05,,Iraq,10.0,8e-05,
N,,,Ireland,,,
N,,,Israel,,,
N,0.139863838,,Italy,460.0,0.00374,
N,1.02289378,,Japan,1244.0,0.01011,
N,0.006609822,,"Korea, North",100.0,0.00081,
N,,,"Korea, Republic of",,,
N,0.158701831,,Kuwait,490.0,0.00398,
N,0.114937537,,Libya,417.0,0.00339,
N,0.380779298,,Lithuania,759.0,0.00617,
N,,,Malaysia,,,
N,0.358549756,,Mexico,737.0,0.00599,
N,0.010327847,,Netherlands,125.0,0.00102,
N,,,New Zealand,,,
N,,,Nigeria,,,
N,0.080970322,,Norway,350.0,0.00285,
N,0.66098222,,Oman,1000.0,0.00813,
N,3.496595942,,Pakistan,2300.0,0.0187,
N,,,Peru,,,
N,2.643928878,,Poland,2000.0,0.01626,
N,0.039352237,,Portugal,244.0,0.00198,
N,2.170232005,,Qatar,1812.0,0.01473,
N,1.117059951,,Romania,1300.0,0.01057,
N,71.83596074,,Russia,10425.0,0.08476,
N,4.131138872,,Saudi Arabia,2500.0,0.02033,
N,0.00146011,,Serbia and Montenegro,47.0,0.00038,
N,0.044682398,,Slovakia,260.0,0.00211,
N,0.171921475,,South Africa,510.0,0.00415,
N,0.000594884,,Spain,30.0,0.00024,
N,,,Switzerland,,,
N,0.017995241,,Syria,165.0,0.00134,
N,,,Taiwan,,,
N,0.00034966,,Tajikistan,23.0,0.00019,
N,17.19214753,,Trinidad and Tobago,5100.0,0.04146,
N,0.001652456,,Turkey,50.0,0.00041,
N,0.048185604,,Turkmenistan,270.0,0.0022,
N,10.57571551,,Ukraine,4000.0,0.03252,
N,0.095445833,,United Arab Emirates,380.0,0.00309,
N,0.799788486,,United Kingdom,1100.0,0.00894,
N,40.93918964,,United States,7870.0,0.06398,
N,0.66098222,,Uzbekistan,1000.0,0.00813,
N,0.889417675,,Venezuela,1160.0,0.00943,
N,,,Vietnam,,,
N,0.000264393,,Zimbabwe,20.0,0.00016,
K,217.32183958650683,1729.7410208771764,Belarus,4968.0,0.14741839762611275,33700.0
K,1.2916288775986406,,Brazil,383.0,0.011364985163204748,
K,962.4723736230839,,Canada,10455.0,0.3102373887240356,
K,2.7514638677808207,,Chile ,559.0,0.016587537091988132,
K,66.58947424032968,,China,2750.0,0.08160237388724036,
K,,,France ,,,
K,94.73007598904628,,Germany,3280.0,0.0973293768545994,
K,41.462899206649695,,Israel,2170.0,0.06439169139465875,
K,13.170222507902684,,Jordan,1223.0,0.03629080118694362,
K,316.14317287287906,,Russia,5992.0,0.17780415430267063,
K,1.6661677042150589,,Spain,435.0,0.012908011869436202,
K,,,Ukraine,,,
K,1.4873865227306748,,United Kingdom,411.0,0.012195845697329377,
K,10.65431587845275,,United States,1100.0,0.032640949554896145,
P,0.0,1535.6160105844856,Albania,,,51378.0
P,1.1128693571095964,,Algeria,542.0,0.010549262330180232,
P,1.7414258981821051,,Australia,678.0,0.0131963097045428,
P,23.149549507480874,,Brazil,2472.0,0.04811397874576667,
P,0.0,,Burkina Faso,,0.0,
P,0.518619759358886,,Canada,370.0,0.007201525944956985,
P,0.00016352206026844696,,Chile,6.57,0.00012787574448207406,
P,875.2513455243025,,China,15200.0,0.29584647125228697,
P,0.0,,Christmas Island,,,
P,0.00025472602351564276,,Colombia,8.2,0.0001596013858071548,
P,10.401371977092518,,Egypt,1657.0,0.03225115808322628,
P,0.25608981543214526,,Finlande,260.0,0.005060531745104908,
P,1.5083576479626981,,India,631.0,0.012281521273696912,
P,0.0,,Indonesia,,,
P,0.005186197593588862,,Iran,37.0,0.0007201525944956986,
P,0.0,,Iraq,,,
P,2.737054610203033,,Israel,850.0,0.01654404608976605,
P,15.183565156971895,,Jordan,2002.0,0.038966094437307794,
P,0.29700357292722185,,Kazakhstan,280.0,0.0054498034178052865,
P,0.3409479791256372,,"Korea, North",300.0,0.005839075090505664,
P,0.32019852906828744,,Mexico,290.728,0.005658608743041769,
P,242.45189626711988,,Morocco,8000.0,0.15570866908015105,
P,0.0,,Nauru,,,
P,1.8562723307951358e-06,,Pakistan,0.7,1.3624508544513214e-05,
P,0.0,,Peru,,,
P,2.222814138220471e-06,,Philippines,0.766,1.4909105064424462e-05,
P,54.7032090952689,,Russia,3800.0,0.07396161781307174,
P,0.0,,Saudi Arabia,,,
P,0.12274127248522938,,Senegal,180.0,0.003503445054303398,
P,2.7888180900560626,,South Africa,858.0,0.0166997547588462,
P,0.0008868056937057828,,Sri Lanka,15.3,0.0002977928296157889,
P,2.3583030768141207,,Syria,789.0,0.015356767488029896,
P,0.0002801834726236903,,Tanzania,8.6,0.00016738681926116236,
P,4.583856163800235e-06,,Thailand,1.1,2.140994199852077e-05,
P,0.34780103350606256,,Togo,303.0,0.005897465841410721,
P,18.838891171043127,,Tunisia,2230.0,0.0434037915060921,
P,279.5322619835604,,United States,8590.0,0.16719218342481218,
P,0.07425089323180546,,Uzbekistan,140.0,0.0027249017089026432,
P,0.05010041137707281,,Venezuela,115.0,0.002238312118027171,
P,1.5035805879440602,,Vietnam,630.0,0.012262057690061895,
P,0.0001720938712947533,,Zimbabwe,6.74,0.00013118455370002724,
P,0.0,,Argentina,,,
P,0.00024245189626711987,,France,8.0,0.00015570866908015105,
P,0.0,,Germany,,,
P,0.018562723307951366,,Luxembourg,70.0,0.0013624508544513216,
S,1.8613037973883608,740.5053036351394,Australia,940.0,0.013642960812772133,68900.0
S,0.4849333397932681,,Brazil,479.8,0.006963715529753266,
S,140.12511770071265,,Canada,8156.0,0.1183744557329463,
S,5.298682805268778,,Chile,1586.0,0.023018867924528303,
S,156.159301990011,,China,8610.0,0.12496371552975327,
S,0.9569325983051099,,Finland,674.0,0.009782293178519594,
S,0.8899964400142399,,France,650.0,0.009433962264150943,
S,36.56940371128515,,Germany,4166.565,0.060472641509433954,
S,12.438674505657005,,India,2430.0,0.03526850507982583,
S,5.192312958558817,,Iran,1570.0,0.022786647314949202,
S,1.1535196462764445,,Italy,740.0,0.010740203193033381,
S,23.414923713086214,,Japan,3334.0,0.048388969521044996,
S,8.68067770332469,,Kazakhstan,2030.0,0.02946298984034833,
S,5.126379494482022,,South Korea,1560.0,0.022641509433962263,
S,1.4511681598244022,,Kuwait,830.0,0.01204644412191582,
S,6.377640761626302,,Mexico,1740.0,0.025253991291727142,
S,0.5586965817817202,,Netherlands,515.0,0.007474600870827286,
S,3.4512903368504864,,Poland,1280.0,0.01857764876632801,
S,0.7583401619056245,,Qatar,600.0,0.008708272859216255,
S,87.63568496021873,,Russia,6450.0,0.09361393323657474,
S,21.079240049873505,,Saudi Arabia,3163.346,0.04591213352685051,
S,0.6879944052106394,,South Africa,571.494,0.00829454281567489,
S,0.8547525809896761,,Spain,637.0,0.009245283018867925,
S,9.965063690041097,,United Arab Emirates,2175.0,0.031567489114658925,
S,182.19122389782635,,United States,9300.0,0.13497822931785197,
S,0.5695977216091136,,Uzbekistan,520.0,0.007547169811320755,
S,1.061886876712848,,Venezuela,710.0,0.010304789550072569,
S,25.510563046505208,,Other,3480.0,0.050507982583454285,
Ca,0.5168952112435388,3566.9196978868617,Australia,2200.0,0.00718954248366013,306000.0
Ca,0.0882439446366782,,Austria,909.0,0.0029705882352941177,
Ca,0.6151480199923106,,Belgium,2400.0,0.00784313725490196,
Ca,0.004972876817570165,,Bosnia and Herzegovina,215.787,0.0007051862745098039,
Ca,5.887759515570935,,Brazil,7425.0,0.02426470588235294,
Ca,0.2158908154983126,,Bulgaria,1421.8,0.00464640522875817,
Ca,0.4571704259045667,,Canada,2069.0,0.006761437908496732,
Ca,0.07180998761160237,,Chile,820.0,0.002679738562091503,
Ca,3460.207612456748,,China,180000.0,0.5882352941176471,
Ca,0.0,,Colombia,,,
Ca,0.03125731556239054,,Croatia,541.0,0.0017679738562091504,
Ca,0.14123841257635952,,Czech Republic,1150.0,0.003758169934640523,
Ca,0.10679653124866505,,Egypt,1000.0,0.0032679738562091504,
Ca,0.024811397325814857,,Finland,482.0,0.0015751633986928104,
Ca,1.7087444999786408,,France,4000.0,0.013071895424836602,
Ca,5.711475180486137,,Germany,7313.0,0.023898692810457516,
Ca,0.0066747832030415654,,Hungary,250.0,0.0008169934640522876,
Ca,18.048613781024393,,India,13000.0,0.042483660130718956,
Ca,0.7785467128027681,,Iran,2700.0,0.008823529411764706,
Ca,0.006151480199923107,,Ireland,240.0,0.000784313725490196,
Ca,0.024662752244435895,,Israel,480.554,0.0015704379084967319,
Ca,3.7175872527660303,,Italy,5900.0,0.019281045751633988,
Ca,0.010440632188581312,,Jamaica,312.669,0.0010217941176470587,
Ca,9.695286428296809,,Japan,9528.0,0.031137254901960783,
Ca,0.08764637648863688,,Kazakhstan,905.917,0.002960513071895425,
Ca,1.7087444999786408,,South Korea,4000.0,0.013071895424836602,
Ca,0.08650519031141869,,Malaysia,900.0,0.0029411764705882353,
Ca,0.0,,Mexico,,,
Ca,0.004982698961937716,,Peru,216.0,0.0007058823529411765,
Ca,0.4067604938271605,,Poland,1951.6,0.006377777777777777,
Ca,0.4271861249946602,,Romania,2000.0,0.006535947712418301,
Ca,7.180998761160237,,Russia,8200.0,0.02679738562091503,
Ca,0.0,,Saudi Arabia,,,
Ca,0.009127054863620828,,Serbia,292.339,0.0009553562091503268,
Ca,0.12502926224956215,,Slovakia,1082.0,0.003535947712418301,
Ca,0.24029219530949633,,Slovenia,1500.0,0.004901960784313725,
Ca,0.265465051024072,,South Africa,1576.613,0.0051523300653594775,
Ca,0.4271861249946602,,Spain,2000.0,0.006535947712418301,
Ca,0.06007304882737408,,Sweden,750.0,0.0024509803921568627,
Ca,0.021626297577854673,,Taiwan,450.0,0.0014705882352941176,
Ca,0.0633196633773335,,Thailand,770.0,0.002516339869281046,
Ca,0.014541522491349478,,Tunisia,369.0,0.0012058823529411764,
Ca,1.7087444999786408,,Turkey,4000.0,0.013071895424836602,
Ca,2.808362595582896,,Ukraine,5128.0,0.016758169934640525,
Ca,0.24029219530949633,,United Kingdom,1500.0,0.004901960784313725,
Ca,42.29249433978386,,United States,19900.0,0.0650326797385621,
Ca,0.017087444999786403,,Venezuela,400.0,0.00130718954248366,
Ca,0.2799309026442821,,Vietnam,1619.0,0.0052908496732026146,
Ca,0.0,,Zambia,,,
Ca,0.3655111281985562,,Other,1850.0,0.006045751633986928,
Ti,659.806928,1317.672,Australia,2555000.0,0.25687,9946700.0
Ti,1.769350351,,Brazil,132309.0,0.0133,
Ti,101.0729781,,Canada,1000000.0,0.10054,
Ti,122.2983035,,China,1100000.0,0.11059,
Ti,,,Egypt,,,
Ti,40.24331804,,India,631000.0,0.06344,
Ti,0.008186911,,Indonesia,9000.0,0.0009,
Ti,0.063170611,,Kazakhstan,25000.0,0.00251,
Ti,0.150696148,,Malaysia,38613.0,0.00388,
Ti,11.37184937,,Mozambique,335427.0,0.03372,
Ti,84.62082411,,Norway,915000.0,0.09199,
Ti,0.939968801,,Sierra Leone,96436.0,0.0097,
Ti,194.1607867,,South Africa,1386000.0,0.13934,
Ti,0.113388522,,Sri Lanka,33494.0,0.00337,
Ti,34.00094984,,Ukraine,580000.0,0.05831,
Ti,16.1716765,,United States,400000.0,0.04021,
Ti,50.87915173,,Vietnam,709500.0,0.07133,
V,0.0,3378.5667,Australia,,,62000.0
V,1758.5848074921958,,China,26000.0,0.41935483870967744,
V,0.0,,Hungary,,,
V,0.0,,Kazakhstan,,,
V,546.9562955254943,,Russia,14500.0,0.23387096774193547,
V,1071.5063085327783,,South Africa,20295.0,0.32733870967741935,
V,0.7034339229968781,,Japan,520.0,0.008387096774193548,
V,0.8158168574401666,,United States,560.0,0.00903225806451613,
Cr,0.0007458865899300897,2259.1063730085625,Afghanistan,6500.0,0.000273109243697479,23800000.0
Cr,0.8967055492020338,,Albania,225373.0,0.009469453781512606,
Cr,0.8922231212661534,,Australia,224809.0,0.009445756302521008,
Cr,7.791768526392909,,Brazil,664347.0,0.02791373949579832,
Cr,0.0,,Burma,,,
Cr,0.706164818868724,,China,200000.0,0.008403361344537815,
Cr,0.0,,Cuba,,,
Cr,6.645629066608997,,Finland,613543.0,0.025779117647058824,
Cr,3.460207612456747e-05,,Greece,1400.0,5.882352941176471e-05,
Cr,268.51917237483224,,India,3900000.0,0.1638655462184874,
Cr,0.0,,Indonesia,,,
Cr,1.2735406997387186,,Iran,268586.0,0.011285126050420168,
Cr,222.73681237200765,,Kazakhstan,3552000.0,0.1492436974789916,
Cr,0.0,,Macedonia,,,
Cr,0.22388404365863998,,Madagascar,112613.0,0.004731638655462185,
Cr,13.049336620012708,,Oman,859748.0,0.036123865546218485,
Cr,0.19094696702210295,,Pakistan,104000.0,0.004369747899159664,
Cr,0.004115384224277947,,Philippines,15268.0,0.0006415126050420168,
Cr,14.715927547489581,,Russia,913000.0,0.038361344537815124,
Cr,1655.1358902902336,,South Africa,9682640.0,0.40683361344537816,
Cr,0.012959622131205427,,Sudan,27094.0,0.001138403361344538,
Cr,62.776459059106,,Turkey,1885712.0,0.07923159663865546,
Cr,0.020830493962290805,,United Arab Emirates,34350.0,0.0014432773109243698,
Cr,0.055126304639502854,,Vietnam,55880.0,0.0023478991596638655,
Cr,3.458099658498693,,Zimbabwe,442584.0,0.01859596638655462,
Mn,299.7549565604812,1354.1723021422256,Australia,2320.0,0.17313432835820897,13400.0
Mn,91.24526620628204,,Brazil,1280.0,0.0955223880597015,
Mn,1.1324771664067719,,Burma,142.6,0.01064179104477612,
Mn,269.5477834707062,,China,2200.0,0.16417910447761194,
