Element,HHI Contribution,HHI ,Country,Production,Market Share,Total World Production
Al,921.743666462933,1791.5893586994737,Australia,78633.0,0.3036023166023166,259000.0
Al,0.05460341918352441,,Bosnia and Herzegovina,605.215,0.002336737451737452,
Al,196.5192623842817,,Brazil,36308.0,0.1401853281853282,
Al,522.4489795918367,,China,59200.0,0.22857142857142856,
Al,0.31170018336041505,,Dominican Republic,1446.0,0.005583011583011583,
Al,0.0210754162877715,,Fiji,376.0,0.0014517374517374517,
Al,0.12236490213324187,,Ghana,906.0,0.003498069498069498,
Al,0.5229690970617612,,Greece,1873.0,0.007231660231660232,
Al,44.399839596905224,,Guinea,17258.0,0.06663320463320463,
Al,0.38258284760215255,,Guyana,1602.0,0.0061853281853281854,
Al,2.9218407596785978e-05,,Hungary,14.0,5.4054054054054054e-05,
Al,76.0060821991324,,India,22580.0,0.08718146718146719,
Al,0.9730443734166155,,Indonesia,2554.854,0.009864301158301158,
Al,0.12921110299488678,,Iran,931.0,0.0035945945945945945,
Al,13.959014449666672,,Jamaica,9676.697,0.03736176447876448,
Al,3.040243287965296,,Kazakhstan,4516.0,0.017436293436293437,
Al,2.0023889029680535,,Malaysia,3665.0,0.01415057915057915,
Al,0.0,,Mexico,,0.0,
Al,0.0035814910332284846,,Montenegro,155.0,0.0005984555984555985,
Al,1.5600878042962982e-06,,Mozambique,3.235,1.249034749034749e-05,
Al,0.00013416615733218048,,Pakistan,30.0,0.00011583011583011582,
Al,0.0,,Romania,,0.0,
Al,5.9035865595325046,,Russia,6293.0,0.024297297297297297,
Al,0.5756063564943873,,Saudi Arabia,1965.0,0.007586872586872587,
Al,0.0,,Serbia & Montenegro,,0.0,
Al,0.2009393121748334,,Sierra Leone,1161.0,0.004482625482625483,
Al,0.0,,Solomon Islands,,0.0,
Al,1.0931953906471277,,Suriname,2708.0,0.010455598455598455,
Al,0.00010077369150728224,,Tanzania,26.0,0.00010038610038610039,
Al,0.17758316652464934,,Turkey,1091.442,0.004214061776061776,
Al,0.0,,United States,,0.0,
Al,0.8204582519640435,,Venezuela,2346.0,0.009057915057915058,
Al,0.17711423502929288,,Vietnam,1090.0,0.004208494208494208,
He,3322.591102381725,5116.797925287467,United States,132.0,0.5764192139737991,229.0
He,1794.2068229057413,,Rest of World,97.0,0.42358078602620086,
Li,9.149118557791466,5575.888477927902,Argentina,19068.0,0.030247509910390085,630399.0
Li,5394.248517839211,,Australia,463000.0,0.7344554797834387,
Li,1.8261910304608413,,Brazil,8519.0,0.013513663568628757,
Li,0.0,,Canada,,0.0,
Li,97.51906734429402,,Chile,62253.0,0.09875174294375468,
