Element,HHI Contribution,HHI,Country,Production,Market Share,Total World Production
Al,1565.0168706747406,1985.5870901816618,Australia,53802.0,0.3956029411764706,136000.0
Al,0.003041198096885813,,Bosnia and Herzegovina,75.0,0.0005514705882352941,
Al,103.95001946366781,,Brazil,13866.0,0.10195588235294117,
Al,43.793252595155714,,China,9000.0,0.0661764705882353,
Al,0.13733564013840832,,Ghana,504.0,0.0037058823529411765,
Al,2.1432098832179935,,Greece,1991.0,0.014639705882352942,
Al,133.26665224913498,,Guinea,15700.0,0.11544117647058824,
Al,3.301168360726644,,Guyana,2471.0,0.018169117647058825,
Al,0.5926735510380622,,Hungary,1047.0,0.007698529411764706,
Al,30.916870674740487,,India,7562.0,0.05560294117647059,
Al,0.716263516435986,,Indonesia,1151.0,0.008463235294117646,
Al,0.08650519031141869,,Iran,400.0,0.0029411764705882353,
Al,66.93886732266436,,Jamaica,11127.0,0.08181617647058824,
Al,7.522112889273356,,Kazakhstan,3730.0,0.027426470588235295,
Al,0.008179606401384083,,Malaysia,123.0,0.0009044117647058823,
Al,3.460207612456747e-05,,Mozambique,8.0,5.882352941176471e-05,
Al,4.3793252595155695e-05,,Pakistan,9.0,6.617647058823529e-05,
Al,0.0,,Romania,0.0,0.0,
Al,9.537197231833911,,Russia,4200.0,0.030882352941176472,
Al,0.21458693771626294,,Serbia and Montenegro,630.0,0.00463235294117647,
Al,7.045901816608996,,Suriname,3610.0,0.026544117647058822,
Al,0.11390625000000001,,Turkey,459.0,0.003375,
Al,0.0,,United States,,0.0,
Al,10.282396734429069,,Venezuela,4361.0,0.03206617647058824,
He,6944.444444444446,7222.2222222222235,United States,145.0,0.8333333333333334,174.0
He,277.7777777777777,,Rest of World,29.0,0.16666666666666666,
Li,12.911241941055351,1904.5464762569798,Argentina,7343.0,0.03593221666006058,204357.0
Li,1027.4403202248166,,Australia,65504.0,0.3205370992919254,
Li,28.319103072891373,,Brazil,10875.0,0.05321569606130448,
Li,121.22327118003442,,Canada,22500.0,0.11010144012683686,
Li,308.07715924565184,,Chile,35869.0,0.17552126915153385,
Li,40.467620403804084,,China,13000.0,0.06361416540661685,
Li,0.0,,Namibia,,0.0,
Li,20.942569204882524,,Portugal,9352.0,0.04576305191405237,
Li,0.9578135006817534,,Russia,2000.0,0.009786794677941054,
Li,0.0,,United States,,0.0,
Li,344.20737748316174,,Zimbabwe,37914.0,0.18552826670972855,
Be,0.0660063428580356,8042.110875033198,Brazil,13.0,0.002569169960474308,5060.0
Be,97.6425190207627,,China,500.0,0.09881422924901186,
Be,0.0,,Kazakhstan,,0.0,
Be,0.0015622803043322034,,Madagascar,2.0,0.0003952569169960474,
Be,0.14099579746598134,,Mozambique,19.0,0.0037549407114624506,
Be,0.006249121217328814,,Portugal,4.0,0.0007905138339920949,
Be,0.0,,Russia,,0.0,
Be,7944.234404536861,,United States,4510.0,0.8913043478260869,
Be,0.019137933728069493,,Zambia,7.0,0.001383399209486166,
B,126.93315559763317,2179.149247681681,Argentina,512.624,0.11266461538461539,4550.0
B,0.8931288491728053,,Bolivia,43.0,0.009450549450549451,
B,55.1725719869581,,Chile,337.966,0.07427824175824176,
B,10.155778287646418,,China,145.0,0.031868131868131866,
B,0.00048303345006641703,,Germany,1.0,0.00021978021978021978,
B,0.006612727931409251,,Iran,3.7,0.0008131868131868133,
B,0.4347301050597754,,Kazakhstan,30.0,0.006593406593406593,
B,0.04185846202149497,,Peru,9.309,0.0020459340659340656,
B,483.0334500664171,,Russia,1000.0,0.21978021978021978,
B,949.4524815843499,,Turkey,1402.0,0.30813186813186816,
B,553.0249969810409,,United States,1070.0,0.23516483516483516,
N,0.000343,1010.247,Afghanistan,20.0,0.00019,108000.0
N,8.57e-05,,Albania,10.0,9e-05,
N,0.179839,,Algeria,458.0,0.00424,
N,0.03095,,Argentina,190.0,0.00176,
N,0.284444,,Australia,576.0,0.00533,
N,0.173611,,Austria,450.0,0.00417,
N,0.105024,,Bahrain,350.0,0.00324,
N,1.35033,,Bangladesh,1255.0,0.01162,
N,0.456876,,Belarus,730.0,0.00676,
N,0.638519,,Belgium,863.0,0.00799,
N,8.57e-07,,Bosnia and Herzegovina,1.0,1e-05,
N,0.733561,,Brazil,925.0,0.00856,
N,0.243561,,Bulgaria,533.0,0.00494,
N,0.005216,,Burma,78.0,0.00072,
N,14.62354,,Canada,4130.0,0.03824,
N,657.8275,,China,27700.0,0.25648,
N,0.007415,,Colombia,93.0,0.00086,
N,0.090556,,Croatia,325.0,0.00301,
N,0.015625,,Cuba,135.0,0.00125,
N,0.051883,,Czech Republic,246.0,0.00228,
N,3.43e-06,,Denmark,2.0,2e-05,
N,1.957408,,Egypt,1511.0,0.01399,
N,0.018026,,Estonia,145.0,0.00134,
N,0.004823,,Finland,75.0,0.00069,
N,2.25,,France,1620.0,0.015,
N,5.243252,,Germany,2473.0,0.0229,
N,0.015625,,Georgia,135.0,0.00125,
N,0.012552,,Greece,121.0,0.00112,
N,0.106228,,Hungary,352.0,0.00326,
N,4.2e-05,,Iceland,7.0,6e-05,
N,88.29038,,India,10148.0,0.09396,
N,11.23491,,Indonesia,3620.0,0.03352,
N,0.798375,,Iran,965.0,0.00894,
N,0.034294,,Iraq,200.0,0.00185,
N,0.144119,,Ireland,410.0,0.0038,
N,0.0,,Israel,,,
N,0.142716,,Italy,408.0,0.00378,
N,1.704475,,Japan,1410.0,0.01306,
N,0.008573,,"Korea, North",100.0,0.00093,
N,0.116736,,"Korea, Republic of",369.0,0.00342,
N,0.144119,,Kuwait,410.0,0.0038,
N,0.261235,,Libya,552.0,0.00511,
N,0.151235,,Lithuania,420.0,0.00389,
N,0.313807,,Malaysia,605.0,0.0056,
N,0.421297,,Mexico,701.0,0.00649,
N,5.531207,,Netherlands,2540.0,0.02352,
N,0.009452,,New Zealand,105.0,0.00097,
N,,,Nigeria,,,
N,0.095641,,Norway,334.0,0.00309,
N,3.043086,,Pakistan,1884.0,0.01744,
N,0.0,,Peru,,0.0,
N,2.972431,,Poland,1862.0,0.01724,
N,0.051883,,Portugal,246.0,0.00228,
N,1.031729,,Qatar,1097.0,0.01016,
N,0.884993,,Romania,1016.0,0.00941,
N,65.41514,,Russia,8735.0,0.08088,
N,2.604637,,Saudi Arabia,1743.0,0.01614,
N,0.003086,,Serbia and Montenegro,60.0,0.00056,
N,0.062964,,Slovakia,271.0,0.00251,
N,0.268861,,South Africa,560.0,0.00519,
N,0.167493,,Spain,442.0,0.00409,
N,0.000934,,Switzerland,33.0,0.00031,
N,0.0071,,Syria,91.0,0.00084,
N,0.000104,,Taiwan,11.0,0.0001,
N,0.000193,,Tajikistan,15.0,0.00014,
N,6.15775,,Trinidad and Tobago,2680.0,0.02481,
N,0.002408,,Turkey,53.0,0.00049,
N,0.004823,,Turkmenistan,75.0,0.00069,
N,10.96959,,Ukraine,3577.0,0.03312,
N,0.103827,,United Arab Emirates,348.0,0.00322,
N,0.568069,,United Kingdom,814.0,0.00754,
N,119.3759,,United States,11800.0,0.10926,
N,0.5625,,Uzbekistan,810.0,0.0075,
N,0.153403,,Venezuela,423.0,0.00392,
N,0.001512,,Vietnam,42.0,0.00039,
N,0.002884,,Zimbabwe,58.0,0.00054,
K,196.62271604938272,1806.1604389574763,Belarus,3786.0,0.14022222222222222,27000.0
K,1.6996433470507541,,Brazil,352.0,0.013037037037037036,
K,1161.5473799725653,,Canada,9202.0,0.3408148148148148,
K,1.4938271604938274,,Chile ,330.0,0.012222222222222223,
K,1.9807956104252402,,China,380.0,0.014074074074074074,
K,1.4046639231824416,,France ,320.0,0.011851851851851851,
K,159.22700960219476,,Germany,3407.0,0.12618518518518518,
K,41.865692729766806,,Israel,1747.0,0.06470370370370371,
K,18.45816186556927,,Jordan,1160.0,0.04296296296296296,
K,187.79149519890262,,Russia,3700.0,0.13703703703703704,
K,5.84923182441701,,Spain,653.0,0.024185185185185185,
K,0.09910836762688616,,Ukraine,85.0,0.003148148148148148,
K,4.938271604938272,,United Kingdom,600.0,0.022222222222222223,
K,23.18244170096022,,United States,1300.0,0.04814814814814815,
P,0.0,1408.955408267732,Albania,,,41705.0
P,0.40375275319778575,,Algeria,265.0,0.0063541541781560965,
P,0.29054697804144164,,Australia,224.8,0.005390240978299965,
P,16.362660295700238,,Brazil,1687.0,0.04045078527754466,
P,0.0,,Burkina Faso,,,
P,0.08983462824799435,,Canada,125.0,0.002997242536866083,
